Team,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Carleton,167,167,163,139,81,72,99,140,26,33,50
St. Thomas,82,141,150,97,104,105,107,111,137,66,63
St. Olaf,66,79,54,54,20,16,34,44,46,43,69
Gustavus Adolphus,207,213,211,252,207,155,109,77,175,186,109
Hamline,61,31,45,133,175,132,194,157,166,241,140
Saint John's,101,96,111,103,108,120,96,66,109,130,143
Bethel,177,145,118,101,243,279,160,217,156,120,177
Concordia-Moorhead,348,198,227,248,226,292,329,305,240,200,206
Macalaster,208,260,220,242,184,201,228,228,173,206,251
Augsburg,97,231,260,252,274,225,255,271,353,315,319
Saint Mary's,277,228,185,146,239,191,214,204,255,308,334
